,Area,Year,rainfall,Temperature,Citrus Production(hg/ha),Pesticide quantity,Qte azote(N),Qte Engrais phosphatés,Qte potasse K2O
606,Ecuador,2001,159.8067,21.1753,41371,2.62,80.85,27.52,16.51
607,Ecuador,2002,179.2062,21.70748888888889,47585,0.5,50.89,14.13,22.66
608,Ecuador,2003,214.67156666666665,21.563277777777767,31004,12.32,48.19,13.62,20.1
609,Ecuador,2004,168.0335111111111,21.482155555555558,46123,11.81,53.76,17.19,39.15
610,Ecuador,2005,123.65977777777776,21.6123,35112,7.33,46.33,15.38,16.16
611,Ecuador,2006,167.2008444444444,21.55593333333333,27964,3.25,51.62,14.62,38.5
612,Ecuador,2007,183.44466666666665,21.13288888888889,33311,5.86,48.93,15.34,34.25
613,Ecuador,2008,261.8672888888889,21.37188888888889,28085,6.16,62.55,10.46,32.84
614,Ecuador,2009,152.17214444444446,21.94053333333333,28907,3.79,59.36,12.45,16.33
615,Ecuador,2010,245.60063333333332,21.970977777777787,28693,12.27,61.72,14.85,39.44
616,Ecuador,2011,211.49272222222226,21.49416666666667,25438,6.91,70.44,13.11,41.97
617,Ecuador,2012,218.0061111111111,21.67835555555556,31218,4.53,68.33,13.52,33.69
618,Ecuador,2013,183.6495444444444,21.419911111111126,30838,2.43,60.63,14.97,30.29
619,Ecuador,2014,187.9102222222222,21.964866666666666,51993,14.07,72.66,19.98,47.16
620,Ecuador,2015,247.7275888888889,22.35813333333333,45337,17.47,54.34,18.18,34.16
621,Ecuador,2016,187.8276888888889,22.421411111111112,47985,20.74,70.99,14.76,42.74
622,Egypt,1991,3.3110866666666667,23.6164,184503,3.12,293.23,56.75,14.53
623,Egypt,1992,2.443021111111111,22.682688888888887,163881,2.05,248.22,34.71,9.91
624,Egypt,1993,3.983108888888889,23.15036666666667,127219,1.38,281.75,36.12,9.85
625,Egypt,1994,2.4252788888888888,23.74720000000001,162212,1.42,239.24,34.62,6.04
626,Egypt,1995,1.8625011111111107,23.876166666666666,175682,1.34,295.46,41.12,6.52
627,Egypt,1996,1.8868955555555555,23.952444444444453,186723,1.42,315.63,38.38,10.39
628,Egypt,1997,2.2964244444444444,23.275777777777765,171053,1.42,281.98,41.45,9.01
629,Egypt,1998,3.6646199999999993,24.109544444444442,161459,1.45,311.08,39.45,8.75
630,Egypt,1999,2.185434444444444,24.166722222222226,169965,1.38,282.63,43.1,12.92
631,Egypt,2000,2.3214200000000003,23.395711111111112,171423,1.5,326.17,46.75,9.87
632,Egypt,2001,1.4880411111111111,24.310311111111112,188899,1.51,329.24,46.8,15.91
633,Egypt,2002,2.264805555555556,24.198366666666665,203066,1.5,336.24,40.77,12.59
634,Egypt,2003,1.9976388888888887,23.9837,200204,1.54,349.31,42.21,15.66
635,Egypt,2004,2.3957,24.057766666666666,209015,1.54,394.74,55.2,11.5
636,Egypt,2005,3.151798888888889,24.184166666666666,216744,1.55,371.56,51.38,13.62
637,Egypt,2006,2.071951111111111,24.34546666666667,195232,2.77,350.69,67.93,13.87
638,Egypt,2007,2.2515777777777766,24.1061,189884,2.57,316.56,47.88,14.7
639,Egypt,2008,2.5331944444444447,24.516700000000004,216045,2.69,321.6,50.93,15.53
640,Egypt,2009,1.8584733333333328,24.377433333333336,226230,2.44,323.45,40.66,13.55
641,Egypt,2010,3.2226044444444444,25.6045,224263,3.16,315.64,40.94,13.89
642,Egypt,2011,1.931005555555556,24.21716666666667,224472,3.58,333.43,41.44,15.75
643,Egypt,2012,1.8741511111111115,24.39884444444445,227193,3.79,294.05,44.1,16.23
644,Egypt,2013,3.18116,24.610877777777766,222242,3.66,295.9,50.95,16.72
645,Egypt,2014,3.637478888888889,24.70991111111111,237837,3.06,302.35,49.98,19.03
646,Egypt,2015,2.2745477777777783,24.64354444444445,245105,2.12,322.04,87.71,18.84
647,Egypt,2016,2.0644066666666663,24.70845555555556,244190,2.15,342.84,60.05,19.55
648,Ethiopia,1993,82.04847777777778,22.897855555555555,62255,0.02,2.8,4.36,0.04
649,Ethiopia,1994,78.6652177777778,23.101677777777766,62072,0.02,3.8,7.25,0.04
650,Ethiopia,1995,70.22320555555554,23.176677777777787,61333,0.02,4.33,8.46,0.0
651,Ethiopia,1996,85.56820666666668,23.36804444444445,61194,0.04,7.72,9.19,0.0
652,Ethiopia,1997,67.39989111111112,23.258577777777766,62164,0.04,5.16,7.4,0.0
653,Ethiopia,1998,80.53656666666666,23.7075,60680,0.04,7.15,8.47,0.0
654,Ethiopia,1999,64.48049666666667,23.066377777777767,60156,0.05,7.47,8.25,0.0
655,Ethiopia,2000,81.69176222222222,23.26531111111111,58830,0.06,7.18,7.6,0.0
656,Ethiopia,2001,71.52844444444446,23.335366666666665,47998,0.06,5.96,6.76,0.0
657,Ethiopia,2002,59.230811111111116,23.87503333333333,45587,0.08,9.3,6.67,0.0
658,Ethiopia,2003,70.7251911111111,23.675122222222214,45233,0.09,2.94,2.43,0.0
659,Ethiopia,2004,65.97261111111109,23.642422222222233,47359,0.09,6.25,3.48,0.0
660,Ethiopia,2005,83.11016666666666,23.70914444444445,115913,0.1,5.92,4.36,0.0
661,Ethiopia,2006,79.70319555555554,23.5829,110905,0.18,5.95,4.53,0.0
662,Ethiopia,2007,80.19452222222222,23.41798888888889,89885,0.17,7.03,7.9,0.0
663,Ethiopia,2008,74.55401666666667,23.29623333333333,77234,0.16,7.7,8.42,0.0
664,Ethiopia,2009,65.73317777777778,24.095355555555557,87532,0.25,7.9,8.54,0.0
665,Ethiopia,2010,76.90753333333333,23.81961111111111,89232,0.26,9.96,10.33,0.0
666,Ethiopia,2011,78.25375888888887,23.87554444444445,91290,0.25,9.51,9.87,0.0
667,Ethiopia,2012,81.66917777777778,23.66303333333333,77588,0.25,15.1,13.36,0.01
668,Ethiopia,2013,85.37651777777778,23.956422222222226,66742,0.25,10.3,6.6,0.01
669,Ethiopia,2014,82.37794444444444,23.687077777777766,66668,0.24,14.03,9.27,0.08
670,Ethiopia,2015,73.87341111111112,24.148588888888888,61758,0.24,14.29,11.48,0.12
671,Ethiopia,2016,90.70338,24.12938888888889,52067,0.24,20.05,10.82,0.02
672,Fiji,1991,200.38122222222214,23.954355555555555,57366,2.8,39.84,7.97,7.97
673,Fiji,1992,117.0364,24.001288888888887,55359,0.54,32.69,9.62,8.08
674,Fiji,1993,251.2544311111111,23.448277777777786,53736,0.63,34.62,11.54,11.15
675,Fiji,1994,211.74704000000003,23.699644444444445,51947,0.73,34.62,11.54,23.08
676,Fiji,1995,207.75784444444446,24.067911111111112,51032,0.81,37.74,11.32,18.87
677,Fiji,1996,294.77334444444443,24.17832222222223,50241,0.91,37.74,15.09,18.87
678,Fiji,1997,302.3953888888889,24.164955555555554,50000,1.0,38.49,15.09,18.87
679,Fiji,1998,77.42054111111109,24.568644444444452,42368,1.14,34.9,12.55,24.71
680,Fiji,1999,290.9364888888889,24.134577777777785,43750,1.25,25.3,7.91,23.72
681,Fiji,2000,405.0418222222222,24.55406666666667,41645,1.35,9.88,7.91,11.86
682,Fiji,2001,246.3435555555556,24.436177777777786,39589,1.45,19.76,7.91,11.86
683,Fiji,2002,271.2002111111111,24.512744444444447,36972,1.55,37.06,10.71,0.26
684,Fiji,2003,158.00424111111113,24.33045555555556,35085,1.65,12.56,0.23,0.15
685,Fiji,2004,239.42697777777786,24.284122222222226,33262,1.75,30.27,0.08,0.08
686,Fiji,2005,210.34187888888889,24.42476666666667,31505,1.85,26.06,0.18,0.08
687,Fiji,2006,232.0598555555556,24.28026666666667,29811,1.94,16.68,0.11,0.09
688,Fiji,2007,298.4148711111111,24.893766666666664,28177,2.06,15.97,0.06,0.02
689,Fiji,2008,295.7556411111111,24.16514444444445,26602,2.15,26.71,0.67,0.09
690,Fiji,2009,256.1708888888889,24.09126666666667,25083,2.81,10.87,2.29,1.31
691,Fiji,2010,135.53743444444444,24.731911111111113,23620,2.76,9.74,0.99,0.06
692,Fiji,2011,347.78705555555547,24.27728888888889,22210,2.84,14.13,0.13,9.16
693,Fiji,2012,423.256088888889,23.969622222222213,20571,3.22,15.85,1.53,1.7
694,Fiji,2013,223.04730000000004,24.41937777777777,19486,3.08,14.83,3.26,4.3
695,Fiji,2014,175.3168555555556,24.113666666666663,17364,3.08,11.15,8.63,3.59
696,Fiji,2015,138.28794444444443,24.040288888888888,110000,3.08,23.33,2.55,9.33
697,Fiji,2016,291.7624444444444,24.64884444444445,110000,3.08,16.88,8.57,4.93
698,France,1991,56.11925555555555,12.05195888888889,165586,5.43,134.95,65.92,91.45
699,France,1992,64.15228888888889,12.226546666666666,141740,4.47,113.06,54.01,70.7
700,France,1993,68.03888888888889,12.042448888888893,126238,4.78,115.55,52.37,71.5
701,France,1994,80.62841111111112,12.814521111111107,106122,4.64,119.7,53.44,71.22
702,France,1995,74.61554444444444,12.588444444444445,116550,4.34,123.62,53.31,77.07
703,France,1996,61.47745555555557,11.688637777777775,92159,5.05,130.31,54.31,76.84
704,France,1997,58.32123333333334,12.912933333333333,95234,5.65,129.4,53.49,73.99
705,France,1998,64.69341111111112,12.764822222222225,95200,5.54,127.84,51.96,68.73
706,France,1999,76.53602222222223,13.071508888888893,111497,5.88,131.89,49.53,62.39
707,France,2000,66.63317777777777,12.818261111111116,110080,5.02,118.81,40.78,53.01
708,France,2001,80.0633666666667,12.632704444444444,106104,5.12,123.05,38.96,52.46
709,France,2002,67.78263333333332,12.740595555555556,117597,4.23,112.99,36.58,49.49
710,France,2003,49.63178888888889,13.234824444444444,100540,3.83,122.0,38.31,50.25
711,France,2004,61.689088888888904,12.501533333333334,127166,3.91,119.31,35.06,45.64
712,France,2005,52.41929999999999,12.553458888888883,111636,4.02,113.15,30.63,37.72
713,France,2006,66.96785555555556,12.64786777777778,136611,3.68,113.43,28.58,37.62
714,France,2007,75.56423333333333,13.09738,94601,3.99,124.08,32.65,41.02
715,France,2008,75.05371111111111,12.663643333333335,113891,4.07,108.64,15.32,20.19
716,France,2009,59.00124444444445,12.614972222222226,126120,3.3,98.57,8.55,7.02
717,France,2010,63.19163333333334,11.937417777777775,113681,3.21,105.79,14.4,22.47
718,France,2011,53.37777777777778,13.199015555555556,134813,3.18,100.84,12.53,20.54
719,France,2012,60.995977777777775,12.493054444444445,135547,3.31,105.0,22.52,24.9
720,France,2013,73.5838111111111,11.884093333333333,103531,3.45,112.34,25.04,23.29
721,France,2014,74.21131111111113,13.371021111111116,128252,3.9,111.73,23.01,25.02
722,France,2015,62.48884444444444,13.002591111111116,100216,3.44,115.07,22.61,24.09
723,France,2016,71.06562222222223,13.032921111111113,162875,3.72,113.28,21.17,20.33
724,Gabon,1991,134.96914444444445,25.08993333333333,47059,0.0,0.44,0.22,0.66
725,Gabon,1992,108.60305,24.765366666666665,46840,0.0,0.22,0.22,0.65
726,Gabon,1993,107.84696666666666,24.93767777777777,46620,0.0,0.22,0.22,0.43
727,Gabon,1994,119.51302222222223,24.90486666666667,46401,0.0,0.22,0.22,0.43
728,Gabon,1995,118.62437777777777,25.180655555555553,45631,0.0,0.2,0.2,0.4
729,Gabon,1996,118.5710222222222,24.91175555555556,45176,0.0,0.2,0.2,0.0
730,Gabon,1997,108.94725444444444,24.80103333333333,45238,0.0,0.2,0.2,0.0
731,Gabon,1998,127.08491555555555,25.789855555555558,45240,0.0,0.2,0.47,0.2
732,Gabon,1999,146.1180888888889,25.17833333333333,45455,0.0,0.2,0.2,0.2
733,Gabon,2000,118.74094444444445,25.17543333333333,45575,0.0,0.2,0.2,0.2
734,Gabon,2001,124.94366222222223,25.237644444444445,45710,0.0,0.2,0.2,0.2
735,Gabon,2002,138.8409333333333,25.540966666666666,45839,0.0,1.12,0.33,2.22
736,Gabon,2003,124.40026666666664,25.39504444444444,45964,0.0,0.38,0.28,1.71
737,Gabon,2004,108.4412,25.421377777777767,46069,0.0,1.37,0.51,1.47
738,Gabon,2005,93.1139777777778,25.39984444444445,45789,0.0,1.17,0.53,3.78
739,Gabon,2006,98.66594666666666,25.45780000000001,46047,0.0,1.61,0.6,3.34
740,Gabon,2007,153.03715555555556,25.50040000000001,45652,0.0,1.8,0.64,3.51
741,Gabon,2008,123.18624444444444,25.1634,46987,0.0,1.66,0.61,4.63
742,Gabon,2009,130.92998999999998,25.35505555555555,47826,0.0,1.78,0.6,5.51
743,Gabon,2010,116.97756666666666,25.627122222222226,51724,0.0,1.2,0.04,0.83
744,Gabon,2011,118.71786666666664,25.302077777777768,53191,0.0,0.77,0.51,2.43
745,Gabon,2012,126.52669888888893,25.27573333333333,54167,0.0,2.63,1.8,2.19
746,Gabon,2013,118.86723333333332,25.3664,54074,0.0,2.58,1.5,2.58
747,Gabon,2014,126.75460666666667,25.34194444444445,54175,0.0,3.74,2.28,2.57
748,Gabon,2015,99.83578777777777,25.368522222222207,55822,0.0,7.84,7.5,4.74
749,Gabon,2016,123.05773333333336,25.78228888888889,56996,0.0,7.4,6.96,6.53
750,Georgia,1992,87.2526,6.3739566666666665,141361,2.73,54.92,8.86,0.0
751,Georgia,1993,80.53778888888887,6.885751111111111,51497,2.73,43.35,4.43,0.0
752,Georgia,1994,63.16253333333334,8.095473333333333,81333,2.73,23.07,4.44,0.0
753,Georgia,1995,76.5321222222222,8.867526666666668,90769,2.86,24.12,4.64,0.0
754,Georgia,1996,71.0678888888889,8.058467777777778,69440,2.89,25.52,4.69,0.0
755,Georgia,1997,82.53732222222223,7.673805555555558,50531,2.9,29.63,4.7,0.0
756,Georgia,1998,69.7283,8.599207777777778,57568,2.9,28.25,3.77,0.0
757,Georgia,1999,72.99,9.20911,37333,2.91,37.74,0.0,0.0
758,Georgia,2000,69.08854444444445,8.599532222222223,40000,2.9,37.66,0.0,1.88
759,Georgia,2001,76.63208888888889,9.51528222222222,45113,2.9,24.46,0.0,1.88
760,Georgia,2002,99.92482222222222,8.378786666666665,37614,2.9,20.11,2.44,2.26
761,Georgia,2003,80.58446666666667,7.8129566666666665,45191,2.89,10.44,0.38,0.0
762,Georgia,2004,93.10399999999998,8.471710000000002,39381,5.58,25.54,0.01,0.21
763,Georgia,2005,90.62358888888893,8.35455,45000,5.31,41.58,1.27,0.33
764,Georgia,2006,76.55559999999998,8.812753333333333,47455,5.33,37.04,0.73,0.22
765,Georgia,2007,79.71054444444444,8.34096111111111,42446,5.34,31.98,0.71,0.48
766,Georgia,2008,75.4022222222222,8.201358888888889,42411,5.37,29.41,0.46,0.14
767,Georgia,2009,104.57009999999998,8.008097777777778,40886,5.52,34.27,0.39,0.22
768,Georgia,2010,88.16140000000001,10.071824444444443,36453,5.92,24.83,1.88,0.15
769,Georgia,2011,94.24880000000002,8.509516666666666,36713,6.13,86.19,3.25,2.25
770,Georgia,2012,74.61907777777778,8.428653333333333,37187,6.22,100.0,6.24,1.58
771,Georgia,2013,83.95544444444445,9.241423333333332,36482,5.65,118.38,11.06,3.45
772,Georgia,2014,77.64435555555556,9.650677777777778,35383,6.49,106.95,11.66,3.87
773,Georgia,2015,69.30142222222223,9.309268888888887,35977,2.83,104.46,8.78,4.5
774,Georgia,2016,95.86178888888887,9.478953333333337,36821,3.26,112.33,11.81,5.3
775,Ghana,1991,125.72845222222219,27.49971111111111,60979,0.02,1.62,0.05,0.19
776,Ghana,1992,88.57355888888887,27.21353333333333,63574,0.02,1.62,0.46,0.25
777,Ghana,1993,102.00828555555556,27.344955555555554,63066,0.02,1.18,0.31,0.23
778,Ghana,1994,98.99690111111113,27.453422222222233,64128,0.01,0.6,0.44,0.67
779,Ghana,1995,111.21290666666668,27.596455555555554,69882,0.01,0.68,0.53,0.85
780,Ghana,1996,116.63999666666668,27.5808,71560,0.32,1.47,0.71,1.37
781,Ghana,1997,109.77951111111106,27.421511111111126,72435,0.09,1.64,1.12,1.26
782,Ghana,1998,90.20995555555555,28.1519,70077,0.05,1.28,0.64,0.75
783,Ghana,1999,119.19741111111112,27.5234,69792,0.02,1.37,0.72,0.55
784,Ghana,2000,104.04239111111113,27.61614444444444,70212,0.01,1.16,0.45,0.35
785,Ghana,2001,102.26848444444445,27.613122222222234,70189,0.01,2.28,1.38,1.33
786,Ghana,2002,110.94584222222224,27.85273333333333,79852,0.01,0.68,0.02,1.77
787,Ghana,2003,112.22472222222223,27.828688888888887,89374,0.02,1.31,0.43,2.64
788,Ghana,2004,103.47365555555555,27.59206666666667,116396,0.02,0.84,0.53,6.4
789,Ghana,2005,101.28489222222224,27.962988888888887,139352,0.03,1.63,0.93,0.97
790,Ghana,2006,101.49342333333333,27.97975555555556,144318,0.11,4.31,2.17,5.55
791,Ghana,2007,119.84546666666664,27.84783333333333,212427,0.02,3.65,1.88,5.23
792,Ghana,2008,126.49905000000004,27.43798888888889,266057,0.05,2.52,1.36,5.09
793,Ghana,2009,118.16065333333331,27.928655555555547,267878,0.05,2.9,4.59,4.47
794,Ghana,2010,113.00843333333334,28.371588888888887,272880,0.05,3.39,3.39,5.02
795,Ghana,2011,102.67813666666667,27.976388888888888,277749,0.05,1.45,2.41,4.56
796,Ghana,2012,109.25016666666664,27.57557777777778,285532,0.05,5.72,9.49,6.87
797,Ghana,2013,94.88316666666668,27.863788888888887,293500,0.05,6.13,5.28,4.64
798,Ghana,2014,111.82656666666666,27.967088888888888,300175,0.05,5.16,2.11,2.7
799,Ghana,2015,88.66246,28.171122222222234,300488,0.05,5.8,4.95,4.34
800,Ghana,2016,114.16633111111112,28.253022222222214,296419,0.05,5.8,3.59,4.22
801,Greece,1991,48.51276666666666,14.374645555555556,172055,1.88,103.55,44.68,17.11
802,Greece,1992,33.61956555555556,14.35143,200398,2.0,99.7,45.15,14.46
803,Greece,1993,31.418827777777786,14.533827777777779,209756,2.25,83.67,32.14,14.03
804,Greece,1994,44.030587777777775,16.06536111111111,227243,1.62,88.27,32.14,14.03
805,Greece,1995,47.64377777777778,15.18075888888889,209171,1.71,80.69,34.84,13.83
806,Greece,1996,50.45008666666667,14.52556222222222,213940,1.87,87.2,37.19,19.24
807,Greece,1997,33.668914444444454,14.601983333333333,221514,2.37,79.02,33.98,16.73
808,Greece,1998,36.44515,15.602144444444447,189421,2.76,75.22,30.91,15.46
809,Greece,1999,43.83381111111112,15.836555555555556,241965,2.49,75.19,30.75,15.25
810,Greece,2000,24.08926888888889,15.562145555555556,214046,2.76,73.95,29.32,15.05
811,Greece,2001,36.59157777777778,16.356265555555556,242074,2.78,67.76,29.34,14.8
812,Greece,2002,47.79933333333334,15.696318888888893,257718,3.08,70.72,31.33,8.42
813,Greece,2003,48.94855555555557,15.341742222222226,210016,2.9,74.07,28.35,11.94
814,Greece,2004,43.24006666666667,15.115616666666664,149599,3.08,59.84,41.6,21.88
815,Greece,2005,48.56396666666666,15.14634,199798,3.2,54.0,32.99,13.01
816,Greece,2006,55.25052222222222,15.253615555555555,188817,2.02,46.38,23.14,17.0
817,Greece,2007,39.29394888888889,16.279327777777773,178693,1.98,36.9,15.64,14.67
818,Greece,2008,36.741209999999995,15.899961111111107,183953,1.39,47.38,18.5,16.49
819,Greece,2009,57.81504444444444,15.68061,207800,0.92,30.97,7.01,5.61
820,Greece,2010,46.735547777777775,16.18304,201893,1.51,47.82,24.69,12.38
821,Greece,2011,44.063451111111114,15.607704444444444,193343,2.21,72.76,28.05,9.35
822,Greece,2012,45.26820222222222,15.875263333333333,197914,2.18,47.88,15.23,12.51
823,Greece,2013,44.96799666666666,16.39498,206077,2.22,52.07,16.09,12.82
824,Greece,2014,58.11842222222222,16.040738888888892,219775,2.86,54.04,15.52,12.68
825,Greece,2015,58.46032333333334,15.726592222222227,242507,2.75,50.11,15.38,12.74
826,Greece,2016,49.362712222222214,16.68005666666667,248706,2.83,53.2,15.95,13.48
827,Grenada,1991,108.57403333333332,27.15378888888889,96630,0.0,55.7,18.42,14.27
828,Grenada,1992,133.9395,26.808411111111113,98820,0.0,55.7,18.42,14.27
829,Grenada,1993,124.36068888888887,27.185944444444445,96274,0.0,55.7,18.42,14.27
830,Grenada,1994,115.8428222222222,26.85436666666666,94982,0.0,55.7,18.42,14.27
831,Grenada,1995,123.57974444444444,27.176955555555555,95086,0.0,55.7,18.42,14.27
832,Grenada,1996,130.81635555555556,26.7894,90294,0.0,55.7,18.42,14.27
833,Grenada,1997,109.08935555555556,26.84330000000001,90356,0.0,55.7,18.42,14.27
834,Grenada,1998,131.3734,27.600088888888887,90484,0.0,55.7,18.42,14.27
835,Grenada,1999,123.80943333333332,27.033544444444445,87211,0.0,55.7,18.42,14.27
836,Grenada,2000,118.38082222222219,26.74507777777778,87893,0.0,55.7,18.42,14.27
837,Grenada,2001,84.31144444444443,27.05363333333333,87892,0.0,55.7,18.42,14.27
838,Grenada,2002,112.57035555555555,27.11863333333333,87910,0.0,55.7,18.42,14.27
839,Grenada,2003,88.54243333333334,27.2559,88070,0.0,55.7,18.42,14.27
840,Grenada,2004,130.01565555555555,27.04334444444445,88481,0.0,55.7,18.42,14.27
841,Grenada,2005,131.9071555555555,27.5422,89009,0.0,55.7,18.42,14.27
842,Grenada,2006,121.73446666666663,27.25490000000001,89317,0.0,55.7,18.42,14.27
843,Grenada,2007,106.95323333333334,27.1993,89831,0.0,55.7,18.42,14.27
844,Grenada,2008,107.66876666666666,26.997611111111112,89627,0.0,55.7,18.42,14.27
845,Grenada,2009,108.2459,27.2879,87951,0.0,55.7,18.42,14.27
846,Grenada,2010,149.23236000000003,27.82127777777778,88737,0.0,55.7,18.42,14.27
847,Grenada,2011,147.12508888888888,27.4087,88424,0.0,55.7,18.42,14.27
848,Grenada,2012,108.3363222222222,27.11862222222221,87200,0.0,55.7,18.42,14.27
849,Grenada,2013,103.6217,27.4622,87672,0.0,55.7,18.42,14.27
850,Grenada,2014,85.6851111111111,27.33183333333333,87882,0.0,55.7,18.42,14.27
851,Grenada,2015,72.2783,27.53176666666667,88209,0.0,55.7,18.42,14.27
852,Grenada,2016,122.82139999999998,27.5987,88497,0.0,55.7,18.42,14.27
853,Guatemala,1991,185.60171111111111,24.113944444444442,169990,6.72,55.01,15.13,10.08
854,Guatemala,1992,206.28542222222225,23.769088888888888,178452,6.72,56.02,20.11,12.32
855,Guatemala,1993,247.66572222222226,23.7101,218017,6.39,56.91,18.62,15.96
856,Guatemala,1994,188.71717777777772,24.06343333333333,204636,6.28,58.64,19.37,10.47
857,Guatemala,1995,278.63642222222217,23.90444444444445,222350,6.28,60.21,20.42,16.75
858,Guatemala,1996,222.21252222222225,23.552077777777786,222821,6.28,57.59,19.37,18.85
859,Guatemala,1997,201.8289777777777,24.24082222222223,219525,5.95,61.69,25.47,21.88
860,Guatemala,1998,205.8247555555556,24.34141111111111,211635,5.62,52.33,22.95,14.15
861,Guatemala,1999,242.72553333333332,23.702122222222233,210979,5.3,63.92,18.66,18.71
862,Guatemala,2000,225.3413,23.81594444444445,208282,4.93,63.36,23.46,20.87
863,Guatemala,2001,216.0527888888889,24.265244444444445,165156,5.04,57.64,26.72,18.35
864,Guatemala,2002,210.8139888888889,24.35884444444445,156542,5.13,41.56,22.81,5.86
865,Guatemala,2003,172.42462222222218,24.626188888888887,153523,4.19,46.05,18.23,5.01
866,Guatemala,2004,205.6697888888889,24.42134444444445,153844,5.2,61.02,22.97,2.93
867,Guatemala,2005,247.8205388888889,24.584611111111112,154031,6.03,58.65,26.93,2.94
868,Guatemala,2006,251.87566666666663,24.305022222222213,133581,6.77,61.85,21.54,3.57
869,Guatemala,2007,220.70414444444447,24.356055555555557,126088,9.13,53.08,22.0,2.72
870,Guatemala,2008,246.66549999999995,24.4388,117818,7.98,38.94,11.06,3.75
871,Guatemala,2009,184.77241111111115,24.514922222222214,120154,6.01,54.53,13.02,4.91
872,Guatemala,2010,318.9169,24.384222222222213,122779,6.88,65.62,30.28,8.55
873,Guatemala,2011,260.1869888888889,24.5966,125237,7.76,84.68,24.28,9.52
874,Guatemala,2012,209.73945555555562,24.555166666666665,133954,9.45,88.91,31.61,16.06
875,Guatemala,2013,287.1236555555556,24.40713333333333,132479,10.06,89.37,29.01,21.84
876,Guatemala,2014,220.9048555555556,24.503311111111113,142476,10.27,81.38,36.05,22.05
877,Guatemala,2015,170.44216666666662,24.72283333333333,147896,10.02,88.82,26.45,28.92
878,Guatemala,2016,220.394,24.915288888888888,154613,10.02,81.8,19.28,26.7
879,Guinea,1991,145.24623444444444,26.29121111111111,50000,0.02,0.41,0.04,0.13
880,Guinea,1992,155.83731444444444,25.996011111111113,51111,0.02,0.08,0.03,0.04
881,Guinea,1993,147.68334222222222,26.23993333333333,50000,0.01,0.32,0.08,0.07
882,Guinea,1994,176.51755222222218,25.951611111111113,51136,0.01,0.69,0.3,0.21
883,Guinea,1995,163.77871888888887,26.15924444444445,51220,0.05,0.85,0.43,0.26
884,Guinea,1996,166.87568000000005,26.439366666666665,51250,0.05,0.76,0.3,0.26
885,Guinea,1997,161.24374,26.249566666666666,51190,0.05,0.22,0.2,0.16
886,Guinea,1998,165.85467888888888,27.025688888888887,51296,0.06,0.37,0.47,0.25
887,Guinea,1999,172.24991333333332,26.054055555555554,51374,0.07,0.35,0.49,0.28
888,Guinea,2000,158.25036111111118,26.27534444444445,51220,0.08,0.36,0.5,0.29
889,Guinea,2001,143.74606666666668,26.323455555555558,51560,0.09,0.35,0.49,0.28
890,Guinea,2002,132.7084966666667,26.6622,51675,0.09,0.59,0.1,0.1
891,Guinea,2003,175.33895666666663,26.669266666666665,51794,0.1,0.53,0.07,0.03
892,Guinea,2004,168.66701999999995,26.59715555555556,51909,0.1,0.52,0.13,0.17
893,Guinea,2005,159.31405,26.76213333333333,51807,0.1,0.58,0.03,0.13
894,Guinea,2006,164.46943000000005,26.602511111111113,52156,0.11,0.58,0.01,0.12
895,Guinea,2007,151.35286444444446,26.71767777777778,52278,0.12,0.91,0.03,0.03
896,Guinea,2008,174.59799666666663,26.385955555555554,52491,0.12,0.79,0.13,0.13
897,Guinea,2009,158.88755222222218,26.43873333333333,52653,0.13,0.35,0.12,0.04
898,Guinea,2010,207.4830533333333,27.02898888888889,52807,0.15,0.7,0.03,0.02
899,Guinea,2011,163.80540111111108,26.651611111111112,53363,0.18,1.42,0.75,0.72
900,Guinea,2012,168.66977888888889,26.252066666666664,53333,0.21,1.45,0.45,0.47
901,Guinea,2013,169.26028111111108,26.70293333333333,53179,0.23,0.72,0.81,0.81
902,Guinea,2014,159.78957888888888,26.4761,53230,0.11,0.77,0.0,0.06
903,Guinea,2015,159.57423333333332,26.92274444444445,53453,0.11,0.63,0.05,0.05
904,Guinea,2016,167.59548111111113,26.84293333333333,53527,0.11,1.68,0.28,0.29
905,Guinea-Bissau,1991,130.50245,27.292466666666666,50000,0.1,2.49,0.04,0.04
906,Guinea-Bissau,1992,153.60427777777778,27.272388888888887,50475,0.01,2.49,0.04,0.04
907,Guinea-Bissau,1993,138.54554111111108,27.47056666666667,52787,0.06,2.49,0.04,0.04
908,Guinea-Bissau,1994,162.86557555555555,27.13265555555556,52618,0.05,2.49,0.04,0.04
909,Guinea-Bissau,1995,136.48444666666668,27.373755555555555,53064,0.04,2.49,0.04,0.04
910,Guinea-Bissau,1996,134.28791111111113,27.6828,53382,0.03,2.49,0.04,0.04
911,Guinea-Bissau,1997,144.56122,27.74803333333333,53593,0.02,2.49,0.04,0.04
912,Guinea-Bissau,1998,148.01861111111108,28.377355555555557,53716,0.01,2.49,0.04,0.04
913,Guinea-Bissau,1999,165.59145666666666,27.2722,53406,0.0,2.49,0.04,0.04
914,Guinea-Bissau,2000,146.99165777777782,27.671222222222234,53353,0.08,2.49,0.04,0.04
915,Guinea-Bissau,2001,138.3608066666667,27.64063333333333,53259,0.15,2.49,0.04,0.04
916,Guinea-Bissau,2002,104.01499111111107,27.76858888888889,53146,0.16,2.49,0.04,0.04
917,Guinea-Bissau,2003,168.70874444444445,27.76047777777778,52965,0.16,2.49,0.04,0.04
